## GRBname 	 Trig_ID 	 15_150kev 
GRB190829A   	922968	 N/A 
GRB190828B   	922808	2.05E-07
GRB190824A   	922107	 N/A 
GRB190821A   	921722	1.60E-07
GRB190816A   	920783	7.77E-08
GRB190727B   	916733	1.82E-06
GRB190719C   	915381	 N/A 
GRB190718A   	915091	2.51E-08
GRB190706B   	913302	8.26E-08
GRB190701A   	912310	7.37E-08
GRB190630C   	912239	1.62E-07
GRB190630B   	912102	9.41E-08
GRB190627A   	911609	 N/A 
GRB190613B   	908329	1.25E-07
GRB190613A   	908288	7.75E-08
GRB190611A   	907950	6.99E-08
GRB190610A   	907754	4.90E-07
GRB190604B   	906654	4.77E-07
GRB190519A   	904394	6.31E-07
GRB190515B   	903845	7.18E-08
GRB190512A   	903357	7.32E-08
GRB190511A   	903158	5.38E-07
GRB190427A   	900730	1.34E-07
GRB190424A   	900285	1.79E-07
GRB190422A   	899979	1.80E-07
GRB190331A   	895813	2.42E-07
GRB190326A   	895006	8.88E-08
GRB190324A   	894718	9.04E-07
GRB190320A   	893808	3.81E-08
GRB190311A   	892607	1.17E-07
GRB190220A   	889785	1.44E-07
GRB190219A   	889748	 N/A 
GRB190211A   	888648	1.65E-07
GRB190204A   	887579	2.67E-06
GRB190203A   	887512	4.28E-07
GRB190202A   	887217	6.55E-07
GRB190123A   	885314	9.21E-08
GRB190114C   	883832	9.93E-06
GRB190114B   	883818	 N/A 
GRB190114A   	883600	2.31E-08
GRB190110A   	883012	6.99E-07
GRB190109B   	882809	1.23E-07
GRB190109A   	882747	9.44E-08
GRB190106A   	882252	3.36E-07
GRB190103B   	881709	1.26E-06
GRB181228A   	879909	2.11E-07
GRB181224A   	878911	9.20E-08
GRB181213A   	876016	1.39E-07
GRB181203A   	874475	9.10E-08
GRB181202A   	874334	5.15E-08
GRB181126A   	873539	2.17E-07
GRB181125A   	873433	1.03E-07
GRB181123B   	873186	1.43E-07
GRB181110A   	871316	 N/A 
GRB181103A   	870201	5.46E-08
GRB181030A   	869494	 N/A 
