## GRBname 	 Trig_ID 	 15_150kev 
GRB190829A   	922968	7.42E-07
GRB190828B   	922808	2.08E-07
GRB190824A   	922107	4.63E-07
GRB190821A   	921722	1.78E-07
GRB190816A   	920783	8.16E-08
GRB190727B   	916733	1.84E-06
GRB190719C   	915381	4.38E-07
GRB190718A   	915091	2.80E-08
GRB190706B   	913302	9.25E-08
GRB190701A   	912310	7.99E-08
GRB190630C   	912239	1.64E-07
GRB190630B   	912102	9.67E-08
GRB190627A   	911609	5.89E-08
GRB190613B   	908329	4.78E-07
GRB190613A   	908288	7.64E-08
GRB190611A   	907950	7.81E-08
GRB190610A   	907754	4.66E-07
GRB190604B   	906654	4.88E-07
GRB190519A   	904394	1.66E-06
GRB190515B   	903845	8.08E-08
GRB190512A   	903357	7.41E-08
GRB190511A   	903158	5.31E-07
GRB190427A   	900730	1.33E-07
GRB190424A   	900285	1.80E-07
GRB190422A   	899979	1.84E-07
GRB190331A   	895813	2.44E-07
GRB190326A   	895006	1.03E-07
GRB190324A   	894718	9.32E-07
GRB190320A   	893808	1.02E-07
GRB190311A   	892607	1.17E-07
GRB190220A   	889785	1.66E-07
GRB190219A   	889748	1.04E-07
GRB190211A   	888648	1.65E-07
GRB190204A   	887579	2.71E-06
GRB190203A   	887512	4.28E-07
GRB190202A   	887217	6.95E-07
GRB190123A   	885314	9.18E-08
GRB190114C   	883832	9.92E-06
GRB190114B   	883818	3.28E-08
GRB190114A   	883600	4.12E-08
GRB190110A   	883012	7.05E-07
GRB190109B   	882809	1.26E-07
GRB190109A   	882747	1.32E-07
GRB190106A   	882252	3.54E-07
GRB190103B   	881709	1.29E-06
GRB181228A   	879909	8.44E-07
GRB181224A   	878911	9.18E-08
GRB181213A   	876016	1.45E-07
GRB181203A   	874475	9.18E-08
GRB181202A   	874334	6.12E-08
GRB181126A   	873539	2.24E-07
GRB181125A   	873433	1.02E-07
GRB181123B   	873186	1.43E-07
GRB181110A   	871316	2.39E-07
GRB181103A   	870201	5.81E-08
GRB181030A   	869494	6.35E-08
GRB181027A   	868984	1.00E-07
GRB181023A   	868427	6.21E-08
GRB181022A   	868312	3.60E-08
GRB181020A   	867987	7.60E-07
GRB181016A   	867252	5.86E-08
GRB181013A   	866783	3.78E-08
GRB181010A   	866434	1.25E-07
GRB181003A   	865179	4.12E-08
GRB181002A   	865036	3.83E-08
GRB180930A   	864584	4.95E-08
GRB180925A   	863421	2.55E-07
GRB180924A   	863186	4.31E-08
GRB180905A   	859421	7.19E-08
GRB180904A   	859282	4.17E-08
GRB180828A   	856977	1.93E-06
GRB180823A   	855434	1.85E-07
GRB180821A   	854578	1.52E-08
GRB180818B   	853882	7.97E-08
GRB180818A   	853824	3.76E-08
GRB180812A   	852903	1.51E-07
GRB180809B   	852553	2.42E-06
GRB180805B   	851855	1.75E-07
GRB180805A   	851829	7.94E-08
GRB180728A   	850471	8.51E-06
GRB180727A   	850231	2.71E-07
GRB180721A   	849018	7.59E-08
GRB180720C   	848932	1.01E-07
GRB180720B   	848890	6.31E-06
GRB180718A   	848489	6.69E-08
GRB180715A   	848048	1.26E-07
GRB180709A   	846868	5.50E-08
GRB180706A   	846395	2.19E-07
GRB180705A   	846299	5.45E-08
GRB180704A   	846088	8.60E-07
GRB180630A   	845443	3.98E-07
GRB180626A   	844615	2.80E-07
GRB180624A   	844192	8.96E-08
GRB180623A   	844015	4.43E-07
GRB180620B   	843211	3.29E-07
GRB180620A   	843122	5.73E-07
GRB180618A   	842475	2.04E-07
GRB180614A   	841548	5.69E-08
GRB180613A   	840853	2.25E-08
GRB180602A   	835200	8.13E-08
GRB180514A   	832368	5.01E-08
GRB180512A   	832119	2.97E-08
GRB180510B   	831816	8.63E-08
GRB180510A   	831810	2.91E-07
GRB180504A   	830822	6.32E-08
GRB180425A   	828672	1.96E-07
GRB180418A   	826428	2.39E-07
GRB180411A   	824451	5.31E-07
GRB180410A   	824063	7.37E-08
GRB180407A   	823001	5.94E-08
GRB180404B   	821902	5.27E-07
GRB180404A   	821881	9.32E-08
GRB180402A   	821103	1.79E-07
GRB180331B   	820513	1.70E-07
GRB180331A   	820347	4.85E-08
GRB180329B   	819490	9.09E-08
GRB180329A   	819301	4.09E-08
GRB180325A   	817564	9.15E-07
GRB180324A   	817345	3.83E-07
GRB180316A   	814677	2.87E-07
GRB180314B   	814305	7.35E-08
GRB180314A   	814129	5.93E-07
GRB180311A   	813721	4.41E-08
GRB180224A   	811561	9.19E-08
GRB180222A   	811235	7.07E-08
GRB180221A   	811074	1.10E-07
GRB180205A   	808625	2.33E-07
GRB180204A   	808483	3.45E-07
GRB180115A   	805318	4.48E-08
GRB180113A   	804999	2.38E-07
GRB180111A   	804692	4.65E-07
GRB180103A   	803066	 N/A 
GRB180102A   	802999	7.43E-08
GRB171222A   	799669	3.91E-08
GRB171216A   	797441	6.77E-08
GRB171212A   	796778	3.86E-08
