##GRBname	bestmodel
GRB190829A	 PL
GRB190828B	 PL
GRB190824A	 PL
GRB190821A	 PL
GRB190816A	 PL
GRB190727B	 PL
GRB190719C	 PL
GRB190718A	 N/A
GRB190706B	 PL
GRB190701A	 PL
GRB190630C	 PL
GRB190630B	 PL
GRB190627A	 PL
GRB190613B	 N/A
GRB190613A	 PL
GRB190611A	 PL
GRB190610A	 PL
GRB190604B	 PL
GRB190519A	 N/A
GRB190515B	 PL
GRB190512A	 PL
GRB190511A	 PL
GRB190427A	 PL
GRB190424A	 PL
GRB190422A	 PL
GRB190331A	 PL
GRB190326A	 N/A
GRB190324A	 PL
GRB190320A	 PL
GRB190311A	 PL
GRB190220A	 N/A
GRB190219A	 PL
GRB190211A	 PL
GRB190204A	 PL
GRB190203A	 PL
GRB190202A	 PL
GRB190123A	 PL
GRB190114C	 N/A
GRB190114B	 PL
GRB190114A	 PL
GRB190110A	 PL
GRB190109B	 PL
GRB190109A	 CPL
GRB190106A	 PL
GRB190103B	 CPL
GRB181228A	 PL
GRB181224A	 PL
GRB181213A	 PL
GRB181203A	 PL
GRB181202A	 PL
GRB181126A	 CPL
GRB181125A	 N/A
GRB181123B	 N/A
GRB181110A	 PL
GRB181103A	 PL
GRB181030A	 PL
GRB181027A	 PL
GRB181023A	 N/A
GRB181022A	 PL
GRB181020A	 PL
GRB181016A	 PL
GRB181013A	 N/A
GRB181010A	 PL
GRB181003A	 PL
GRB181002A	 PL
GRB180930A	 PL
GRB180925A	 PL
GRB180924A	 PL
GRB180905A	 PL
GRB180904A	 PL
GRB180828A	 PL
GRB180823A	 PL
GRB180821A	 PL
GRB180818B	 PL
GRB180818A	 PL
GRB180812A	 PL
GRB180809B	 PL
GRB180805B	 PL
GRB180805A	 PL
GRB180728A	 PL
GRB180727A	 CPL
GRB180721A	 PL
GRB180720C	 PL
GRB180720B	 PL
GRB180718A	 N/A
GRB180715A	 PL
GRB180709A	 PL
GRB180706A	 PL
GRB180705A	 PL
GRB180704A	 N/A
GRB180630A	 PL
GRB180626A	 PL
GRB180624A	 PL
GRB180623A	 PL
GRB180620B	 CPL
GRB180620A	 N/A
GRB180618A	 N/A
GRB180614A	 PL
GRB180613A	 N/A
GRB180602A	 PL
GRB180514A	 PL
GRB180512A	 PL
GRB180510B	 PL
GRB180510A	 CPL
GRB180504A	 PL
GRB180425A	 PL
GRB180418A	 CPL
GRB180411A	 PL
GRB180410A	 PL
GRB180407A	 PL
GRB180404B	 PL
GRB180404A	 PL
GRB180402A	 N/A
GRB180331B	 PL
GRB180331A	 PL
GRB180329B	 CPL
GRB180329A	 PL
GRB180325A	 PL
GRB180324A	 PL
GRB180316A	 PL
GRB180314B	 PL
GRB180314A	 CPL
GRB180311A	 PL
GRB180224A	 PL
GRB180222A	 PL
GRB180221A	 PL
GRB180205A	 PL
GRB180204A	 N/A
GRB180115A	 PL
GRB180113A	 N/A
GRB180111A	 PL
GRB180103A	 PL
GRB180102A	 PL
GRB171222A	 PL
GRB171216A	 N/A
GRB171212A	 PL
GRB171211A	 PL
GRB171209A	 PL
GRB171205A	 PL
GRB171123A	 PL
GRB171120A	 CPL
GRB171115A	 PL
GRB171103A	 PL
GRB171102B	 PL
GRB171027A	 PL
GRB171020A	 PL
GRB171011A	 PL
GRB171010B	 PL
GRB171007A	 N/A
GRB171004A	 PL
GRB171001A	 PL
GRB170921A	 PL
GRB170912B	 PL
GRB170912A	 PL
GRB170906C	 CPL
GRB170906B	 N/A
GRB170906A	 PL
GRB170903A	 N/A
GRB170827A	 PL
GRB170823A	 PL
GRB170822A	 PL
GRB170813A	 PL
GRB170810A	 PL
GRB170807A	 PL
GRB170804A	 PL
GRB170803A	 CPL
GRB170728B	 PL
GRB170728A	 PL
GRB170724A	 PL
GRB170714A	 PL
GRB170711A	 PL
GRB170710B	 PL
GRB170710A	 PL
GRB170705A	 PL
GRB170629A	 PL
GRB170626A	 CPL
GRB170607A	 PL
GRB170604A	 PL
GRB170531B	 PL
GRB170531A	 PL
GRB170526A	 PL
GRB170524B	 N/A
GRB170524A	 PL
GRB170519A	 PL
GRB170516A	 PL
GRB170428A	 N/A
GRB170419B	 PL
GRB170419A	 PL
GRB170405A	 PL
GRB170331A	 PL
GRB170330A	 PL
GRB170325A	 PL
GRB170318B	 PL
GRB170318A	 N/A
GRB170317A	 N/A
GRB170311A	 PL
GRB170307A	 PL
GRB170306A	 PL
GRB170208B	 CPL
GRB170208A	 N/A
GRB170206B	 N/A
GRB170205A	 PL
GRB170203A	 PL
GRB170202A	 PL
GRB170131A	 N/A
GRB170127B	 PL
GRB170127A	 PL
GRB170126A	 PL
GRB170115A	 PL
GRB170113A	 CPL
GRB170112A	 N/A
GRB170111A	 PL
GRB170101A	 PL
GRB161224A	 PL
GRB161220A	 N/A
GRB161219B	 PL
GRB161218A	 CPL
GRB161217A	 PL
GRB161214B	 PL
GRB161202A	 PL
GRB161129A	 PL
GRB161117B	 CPL
GRB161117A	 CPL
GRB161113A	 PL
GRB161108A	 PL
GRB161105A	 PL
GRB161104A	 PL
GRB161022A	 PL
GRB161017A	 PL
GRB161014A	 PL
GRB161011A	 PL
GRB161007A	 PL
GRB161004B	 CPL
GRB161004A	 N/A
GRB161001A	 PL
GRB160927A	 PL
GRB160917A	 PL
GRB160912A	 PL
GRB160905A	 PL
GRB160827A	 PL
GRB160826A	 N/A
GRB160824A	 PL
GRB160821B	 N/A
GRB160821A	 PL
GRB160819A	 PL
GRB160815A	 CPL
GRB160804A	 CPL
GRB160801A	 PL
GRB160726A	 PL
GRB160716A	 PL
GRB160714A	 PL
GRB160712A	 PL
GRB160709A	 PL
GRB160705B	 PL
GRB160703A	 PL
GRB160630A	 PL
GRB160625A	 PL
GRB160624A	 PL
GRB160623A	 N/A
GRB160612A	 N/A
GRB160611A	 PL
GRB160607A	 PL
GRB160601A	 PL
GRB160525B	 PL
GRB160525A	 N/A
GRB160519A	 PL
GRB160506A	 PL
GRB160504A	 PL
GRB160501A	 PL
GRB160425A	 PL
GRB160424A	 PL
GRB160419A	 CPL
GRB160417A	 PL
GRB160412A	 PL
GRB160411A	 PL
GRB160410A	 PL
GRB160409A	 N/A
GRB160408A	 N/A
GRB160327A	 PL
GRB160325A	 PL
GRB160321A	 PL
GRB160314A	 PL
GRB160313A	 N/A
GRB160303A	 PL
GRB160228A	 PL
GRB160227A	 CPL
GRB160225A	 PL
GRB160223A	 PL
GRB160220B	 CPL
GRB160220A	 PL
GRB160216A	 PL
GRB160203A	 PL
GRB160131A	 PL
GRB160127A	 PL
GRB160123A	 PL
GRB160121A	 PL
GRB160119A	 PL
GRB160117B	 PL
GRB160117A	 PL
GRB160104A	 PL
GRB151229A	 PL
GRB151228B	 CPL
GRB151228A	 CPL
GRB151215A	 PL
GRB151210A	 PL
GRB151205B	 PL
GRB151205A	 PL
GRB151127A	 PL
GRB151122A	 PL
GRB151118A	 PL
GRB151114A	 N/A
GRB151112A	 N/A
GRB151111A	 N/A
GRB151107A	 N/A
GRB151031A	 PL
GRB151029A	 N/A
GRB151027B	 PL
GRB151027A	 PL
GRB151023A	 PL
GRB151022A	 PL
GRB151021A	 PL
GRB151006A	 PL
GRB151004A	 PL
GRB151001B	 PL
GRB151001A	 PL
GRB150925A	 PL
GRB150915A	 PL
GRB150911A	 CPL
GRB150910A	 PL
GRB150907B	 PL
GRB150901A	 PL
GRB150831B	 PL
GRB150831A	 PL
GRB150821A	 PL
GRB150819A	 PL
GRB150818A	 PL
GRB150817A	 PL
GRB150811A	 PL
GRB150801B	 PL
GRB150728A	 PL
GRB150727A	 N/A
GRB150724A	 PL
GRB150722A	 PL
GRB150720A	 PL
GRB150716A	 PL
GRB150711A	 N/A
GRB150710B	 N/A
GRB150710A	 PL
GRB150626B	 PL
GRB150626A	 PL
GRB150616A	 PL
GRB150615A	 PL
GRB150607A	 CPL
GRB150530A	 PL
GRB150527A	 PL
GRB150530B	 PL
GRB150513A	 PL
GRB150430A	 PL
GRB150428B	 CPL
GRB150428A	 PL
GRB150424A	 N/A
GRB150423A	 N/A
GRB150413A	 PL
GRB150407A	 N/A
GRB150403A	 PL
GRB150402A	 PL
GRB150323C	 PL
GRB150323B	 PL
GRB150323A	 PL
GRB150318A	 PL
GRB150317A	 PL
GRB150314A	 PL
GRB150309A	 CPL
GRB150302A	 PL
GRB150301B	 N/A
GRB150301A	 PL
GRB150222A	 PL
GRB150213B	 PL
GRB150212A	 PL
GRB150211A	 N/A
GRB150206A	 PL
GRB150204A	 PL
GRB150203A	 PL
GRB150202A	 PL
GRB150201A	 PL
GRB150120B	 PL
GRB150120A	 PL
GRB150110B	 PL
GRB150103A	 PL
GRB150101B	 N/A
GRB150101A	 N/A
GRB141229A	 N/A
GRB141225A	 PL
GRB141221A	 N/A
GRB141220A	 CPL
GRB141212B	 PL
GRB141212A	 PL
GRB141205A	 N/A
GRB141130A	 PL
GRB141121A	 PL
GRB141109B	 PL
GRB141109A	 PL
GRB141102A	 N/A
GRB141031B	 PL
GRB141031A	 PL
GRB141026A	 PL
GRB141022A	 N/A
GRB141020A	 PL
GRB141017A	 CPL
GRB141015A	 PL
GRB141005A	 PL
GRB141004A	 PL
GRB140930B	 N/A
GRB140927A	 PL
GRB140919A	 PL
GRB140916A	 PL
GRB140909A	 N/A
GRB140907A	 PL
GRB140903A	 N/A
GRB140901B	 PL
GRB140828A	 CPL
GRB140824A	 PL
GRB140818B	 PL
GRB140817A	 PL
GRB140730A	 PL
GRB140719B	 PL
GRB140719A	 N/A
GRB140716A-2	 PL
GRB140716A-1	 PL
GRB140713A	 N/A
GRB140710A	 PL
GRB140709B	 PL
GRB140709A	 CPL
GRB140706A	 PL
GRB140703A	 PL
GRB140629A	 PL
GRB140628A	 PL
GRB140626A	 PL
GRB140622A	 PL
GRB140619A	 PL
GRB140614B	 PL
GRB140614A	 PL
GRB140611A	 N/A
GRB140610A	 PL
GRB140607A	 N/A
GRB140606A	 PL
GRB140529A	 PL
GRB140521A	 PL
GRB140518A	 CPL
GRB140516A	 PL
GRB140515A	 CPL
GRB140512A	 PL
GRB140509A	 N/A
GRB140506A	 PL
GRB140502A	 PL
GRB140430A	 PL
GRB140428A	 PL
GRB140423A	 PL
GRB140419A	 PL
GRB140414A	 PL
GRB140413A	 PL
GRB140412A	 PL
GRB140408A	 PL
GRB140402A	 PL
GRB140331A	 PL
GRB140323A	 PL
GRB140320A	 PL
GRB140318A	 PL
GRB140311B	 PL
GRB140311A	 PL
GRB140305A	 N/A
GRB140304A	 CPL
GRB140302A	 PL
GRB140301A	 PL
GRB140215A	 PL
GRB140213A	 PL
GRB140211A	 PL
GRB140209A	 PL
GRB140206A	 CPL
GRB140129B	 PL
GRB140129A	 PL
GRB140118A	 PL
GRB140114A	 PL
GRB140108A	 PL
GRB140103A	 N/A
GRB140102A	 PL
GRB131229A	 PL
GRB131227A	 PL
GRB131226A	 PL
GRB131224B	 PL
GRB131205A	 PL
GRB131202A	 PL
GRB131128A	 PL
GRB131127A	 PL
GRB131120A	 PL
GRB131117A	 PL
GRB131110A	 PL
GRB131105A	 N/A
GRB131103A	 PL
GRB131031A	 N/A
GRB131030A	 PL
GRB131024B	 PL
GRB131024A	 PL
GRB131018A	 PL
GRB131004A	 PL
GRB131002B	 PL
GRB131002A	 PL
GRB131001A	 CPL
GRB130929A	 PL
GRB130925A	 PL
GRB130919A	 CPL
GRB130913A	 PL
GRB130912A	 PL
GRB130907A	 PL
GRB130831B	 PL
GRB130831A	 PL
GRB130829A	 PL
GRB130822A	 PL
GRB130816B	 PL
GRB130816A	 PL
GRB130812A	 N/A
GRB130807A	 PL
GRB130806A	 PL
GRB130803A	 PL
GRB130727A	 PL
GRB130725B	 PL
GRB130725A	 PL
GRB130722A	 PL
GRB130719A	 N/A
GRB130716A	 PL
GRB130708A	 PL
GRB130701A	 CPL
GRB130627B	 PL
GRB130627A	 N/A
GRB130626A	 PL
GRB130625A	 PL
GRB130623A	 N/A
GRB130615A	 PL
GRB130612A	 N/A
GRB130610A	 PL
GRB130609B	 PL
GRB130609A	 PL
GRB130608A	 PL
GRB130606A	 PL
GRB130605A	 N/A
GRB130604A	 PL
GRB130603B	 PL
GRB130603A	 PL
GRB130529A	 PL
GRB130528A	 PL
GRB130527A	 PL
GRB130521A	 PL
GRB130518B	 PL
GRB130518A	 N/A
GRB130515A	 N/A
GRB130514A	 PL
GRB130511A	 PL
GRB130508A	 PL
GRB130505A	 PL
GRB130504A	 N/A
GRB130502A	 PL
GRB130427B	 PL
GRB130427A	 PL
GRB130420B	 CPL
GRB130420A	 PL
GRB130419A	 PL
GRB130418A	 PL
GRB130408A	 PL
GRB130327A	 PL
GRB130315A	 PL
GRB130313A	 PL
GRB130306A	 PL
GRB130305A	 N/A
GRB130216A	 CPL
GRB130216B	 PL
GRB130215A	 PL
GRB130211A	 PL
GRB130206A	 PL
GRB130131B	 PL
GRB130131A	 PL
GRB130122A	 N/A
GRB130102A	 PL
GRB121229A	 PL
GRB121226A	 PL
GRB121217A	 PL
GRB121212A	 PL
GRB121211A	 PL
GRB121209A	 PL
GRB121202A	 CPL
GRB121201A	 PL
GRB121128A	 CPL
GRB121125A	 PL
GRB121123A	 CPL
GRB121117A	 PL
GRB121108A	 N/A
GRB121102A	 PL
GRB121031A	 PL
GRB121028A	 PL
GRB121027A	 PL
GRB121024A	 PL
GRB121017A	 PL
GRB121014A	 PL
GRB121011A	 PL
GRB121001A	 N/A
GRB120927A	 CPL
GRB120923A	 PL
GRB120922A	 PL
GRB120918A	 CPL
GRB120913B	 PL
GRB120913A	 PL
GRB120911A	 PL
GRB120909A	 PL
GRB120907A	 PL
GRB120819A	 PL
GRB120817B	 N/A
GRB120817A	 PL
GRB120816A	 PL
GRB120815A	 PL
GRB120811C	 CPL
GRB120811A	 PL
GRB120807A	 PL
GRB120805A	 PL
GRB120804A	 PL
GRB120803B	 CPL
GRB120803A	 PL
GRB120802A	 CPL
GRB120729A	 PL
GRB120728A	 PL
GRB120724A	 PL
GRB120722A	 PL
GRB120714B	 PL
GRB120714A	 PL
GRB120712A	 PL
GRB120711B	 PL
GRB120703A	 PL
GRB120701A	 PL
GRB120630A	 PL
GRB120624B	 PL
GRB120612A	 PL
GRB120521C	 PL
GRB120521B	 PL
GRB120521A	 PL
GRB120514A	 PL
GRB120422A	 PL
GRB120404A	 N/A
GRB120403B	 PL
