## GRBname 	 Trig_ID 	 15_150kev(PL) 	 Exposure_time 	bestmodel	 15_150kev(CPL) 	 15_150kev
GRB190829A	922968	6.37E-06	59.14	 PL	0	0.00000637
GRB190828B	922808	4.47E-06	940.7	 PL	0	0.00000447
GRB190824A	922107	8.36E-06	186.5	 PL	0	0.00000836
GRB190821A	921722	2.36E-06	62.8	 PL	0	0.00000236
GRB190816A	920783	9.76E-06	548	 PL	0	0.00000976
GRB190727B	916733	1.80E-05	60.44	 PL	0	0.000018
GRB190719C	915381	5.09E-06	202.4	 PL	0	0.00000509
GRB190706B	913302	6.51E-07	51.58	 PL	0	0.000000651
GRB190701A	912310	8.64E-07	54.98	 PL	0	0.000000864
GRB190630C	912239	2.29E-06	52.15	 PL	0	0.00000229
GRB190630B	912102	2.77E-07	6.388	 PL	0	0.000000277
GRB190627A	911609	1.18E-07	2.956	 PL	0	0.000000118
GRB190613A	908288	1.71E-06	19.7	 PL	0	0.00000171
GRB190611A	907950	4.57E-07	64.7	 PL	0	0.000000457
GRB190610A	907754	4.35E-07	0.74	 PL	0	0.000000435
GRB190604B	906654	1.71E-05	277.8	 PL	0	0.0000171
GRB190515B	903845	1.48E-06	57.34	 PL	0	0.00000148
GRB190512A	903357	1.28E-06	53	 PL	0	0.00000128
GRB190511A	903158	7.39E-06	31.15	 PL	0	0.00000739
GRB190427A	900730	1.21E-07	0.32	 PL	0	0.000000121
GRB190424A	900285	1.21E-06	15.68	 PL	0	0.00000121
GRB190422A	899979	6.13E-06	353.1	 PL	0	0.00000613
GRB190331A	895813	4.47E-07	4.56	 PL	0	0.000000447
GRB190324A	894718	7.04E-06	58.02	 PL	0	0.00000704
GRB190320A	893808	2.68E-06	70	 PL	0	0.00000268
GRB190311A	892607	9.32E-07	24.13	 PL	0	0.000000932
GRB190219A	889748	3.80E-06	194.2	 PL	0	0.0000038
GRB190211A	888648	5.79E-07	11.42	 PL	0	0.000000579
GRB190204A	887579	1.25E-05	60.65	 PL	0	0.0000125
GRB190203A	887512	1.56E-05	286.4	 PL	0	0.0000156
GRB190202A	887217	6.48E-06	28.22	 PL	0	0.00000648
GRB190123A	885314	8.26E-07	28.05	 PL	0	0.000000826
GRB190114B	883818	5.12E-07	29.06	 PL	0	0.000000512
GRB190114A	883600	8.03E-07	73.18	 PL	0	0.000000803
GRB190110A	883012	2.47E-06	11.79	 PL	0	0.00000247
GRB190109B	882809	4.77E-07	7.568	 PL	0	0.000000477
GRB190109A	882747	0.00E+00	200.8	 CPL	5.45E-06	5.45273E-06
GRB190106A	882252	5.86E-06	96.74	 PL	0	0.00000586
GRB190103B	881709	0.00E+00	26.61	 CPL	1.19E-05	1.19145E-05
GRB181228A	879909	1.04E-05	341.9	 PL	0	0.0000104
GRB181224A	878911	4.94E-07	15.34	 PL	0	0.000000494
GRB181213A	876016	1.44E-06	16.35	 PL	0	0.00000144
GRB181203A	874475	7.71E-07	17.65	 PL	0	0.000000771
GRB181202A	874334	2.48E-07	7.012	 PL	0	0.000000248
GRB181126A	873539	0.00E+00	2.232	 CPL	3.06E-07	3.05903E-07
GRB181110A	871316	9.82E-06	239.1	 PL	0	0.00000982
GRB181103A	870201	2.85E-07	11.18	 PL	0	0.000000285
GRB181030A	869494	6.12E-06	439.8	 PL	0	0.00000612
GRB181027A	868984	2.83E-06	103.9	 PL	0	0.00000283
GRB181022A	868312	1.88E-07	9.608	 PL	0	0.000000188
GRB181020A	867987	8.08E-06	272.7	 PL	0	0.00000808
GRB181016A	867252	1.88E-06	128.2	 PL	0	0.00000188
GRB181010A	866434	6.93E-07	19.26	 PL	0	0.000000693
GRB181003A	865179	4.94E-07	29.2	 PL	0	0.000000494
GRB181002A	865036	8.85E-07	72	 PL	0	0.000000885
GRB180930A	864584	2.03E-07	7.448	 PL	0	0.000000203
GRB180925A	863421	4.02E-06	108.5	 PL	0	0.00000402
GRB180924A	863186	1.36E-06	111	 PL	0	0.00000136
GRB180905A	859421	4.18E-06	205.6	 PL	0	0.00000418
GRB180904A	859282	2.36E-07	6.276	 PL	0	0.000000236
GRB180828A	856977	8.79E-06	36	 PL	0	0.00000879
GRB180823A	855434	7.82E-06	109.6	 PL	0	0.00000782
GRB180821A	854578	1.46E-06	64	 PL	0	0.00000146
GRB180818B	853882	2.31E-06	156.3	 PL	0	0.00000231
GRB180818A	853824	2.58E-07	16.24	 PL	0	0.000000258
GRB180812A	852903	8.06E-07	17.47	 PL	0	0.000000806
GRB180809B	852553	7.24E-05	338.4	 PL	0	0.0000724
GRB180805B	851855	8.63E-07	126.6	 PL	0	0.000000863
GRB180805A	851829	1.13E-07	1.864	 PL	0	0.000000113
GRB180728A	850471	3.01E-05	36.76	 PL	0	0.0000301
GRB180727A	850231	0.00E+00	1.384	 CPL	2.74E-07	2.74376E-07
GRB180721A	849018	5.94E-07	49.31	 PL	0	0.000000594
GRB180720C	848932	2.28E-06	164	 PL	0	0.00000228
GRB180720B	848890	8.44E-05	531.5	 PL	0	0.0000844
GRB180715A	848048	1.26E-07	0.776	 PL	0	0.000000126
GRB180709A	846868	1.36E-06	223.1	 PL	0	0.00000136
GRB180706A	846395	2.39E-06	67.09	 PL	0	0.00000239
GRB180705A	846299	2.04E-06	132.8	 PL	0	0.00000204
GRB180630A	845443	1.75E-06	30.38	 PL	0	0.00000175
GRB180626A	844615	4.87E-06	35.6	 PL	0	0.00000487
GRB180624A	844192	5.52E-06	549.2	 PL	0	0.00000552
GRB180623A	844015	1.14E-05	175.9	 PL	0	0.0000114
GRB180620B	843211	0.00E+00	321.8	 CPL	9.97E-06	9.9691E-06
GRB180614A	841548	2.10E-07	7.8	 PL	0	0.00000021
GRB180602A	835200	1.73E-06	69.62	 PL	0	0.00000173
