## GRBname 	 Trig_ID 	 Exposure_time 	 15_150kev
GRB180728A	850471	36.76	0.0000301
GRB180727A	850231	1.384	2.74E-07
GRB180721A	849018	49.31	0.000000594
GRB180720C	848932	164	0.00000228
GRB180720B	848890	531.5	0.0000844
GRB180715A	848048	0.776	0.000000126
GRB180709A	846868	223.1	0.00000136
GRB180706A	846395	67.09	0.00000239
GRB180705A	846299	132.8	0.00000204
GRB180630A	845443	30.38	0.00000175
GRB180626A	844615	35.6	0.00000487
GRB180624A	844192	549.2	0.00000552
GRB180623A	844015	175.9	0.0000114
GRB180620B	843211	321.8	9.97E-06
GRB180614A	841548	7.8	0.00000021
GRB180602A	835200	69.62	0.00000173
GRB180514A	832368	36.96	0.000000901
GRB180512A	832119	26	0.000000424
GRB180510B	831816	157	0.00000212
GRB180510A	831810	80	6.19E-06
GRB180504A	830822	178	0.00000235
GRB180425A	828672	13.7	0.00000118
GRB180418A	826428	7.072	3.13E-07
GRB180411A	824451	107.7	0.0000122
GRB180410A	824063	134	0.00000239
GRB180407A	823001	127.7	0.00000144
GRB180404B	821902	202.2	0.0000118
GRB180404A	821881	46.63	0.00000127
GRB180331B	820513	83.81	0.00000165
GRB180331A	820347	48	0.000000686
GRB180329B	819490	267.1	3.21E-06
GRB180329A	819301	40	0.000000321
GRB180325A	817564	107.9	0.00000639
GRB180324A	817345	9.02	0.000000564
GRB180316A	814677	117	0.00000492
GRB180314B	814305	63.06	0.000000833
GRB180314A	814129	121.6	1.06E-05
GRB180311A	813721	26.82	0.000000333
GRB180224A	811561	15.04	0.000000467
GRB180222A	811235	55.81	0.000000905
GRB180221A	811074	13	0.00000057
GRB180205A	808625	17.91	0.00000102
GRB180115A	805318	43.76	0.000000756
GRB180111A	804692	69.88	0.00001
GRB180103A	803066	10.02	0.00000219
GRB180102A	802999	13.92	0.000000348
GRB171222A	799669	202.1	0.00000188
GRB171212A	796778	400	0.00000334
GRB171211A	796469	2.608	0.000000241
GRB171209A	796100	299.2	0.00000727
GRB171205A	794972	240	0.00000353
GRB171123A	791922	61.68	0.000000476
GRB171120A	791201	80	8.11E-06
GRB171115A	790053	39.71	0.000000669
GRB171103A	785850	5.04	0.000000377
GRB171102B	785510	20.78	0.000000941
GRB171027A	783479	131.1	0.00000775
GRB171027A	783479	131.1	0.00000775
GRB171020A	780845	47.62	0.00000116
GRB171020A	780845	47.62	0.00000116
GRB171011A	778154	2.804	0.00000106
GRB171010B	778019	10.09	0.000000392
GRB171004A	776347	126.4	0.00000292
GRB171001A	775553	22.17	0.000000571
GRB170921A	773509	34.82	0.000000667
GRB170912B	772052	40.32	0.0000024
GRB170912A	772006	27.52	0.00000111
GRB170906C	770981	76.54	8.79E-06
GRB170906A	770957	167.6	0.0000331
GRB170827A	769567	159.7	0.0000016
GRB170823A	769177	87.66	0.00000258
GRB170822A	768939	80	0.00000641
GRB170813A	767563	86.25	0.0000019
GRB170810A	767284	182.1	0.00000471
GRB170807A	766821	52.67	0.000000843
GRB170804A	766194	76.95	0.00000132
GRB170803A	766081	4.836	1.03E-06
GRB170728B	765130	50.62	0.00000165
GRB170728A	765008	1.416	8.27E-08
GRB170724A	764204	109.2	0.00000108
GRB170714A	762535	538.6	0.00000287
GRB170711A	761622	46.99	0.0000014
GRB170710B	86619001	59.2	0.00000238
GRB170710A	761119	36.62	0.000000765
GRB170705A	760064	310	0.00000922
GRB170629A	759159	40.53	0.00000261
GRB170626A	758766	39.27	8.19E-06
GRB170607A	756284	352	0.00000763
GRB170604A	755867	30.5	0.00000509
GRB170531B	755354	181.3	0.00000192
GRB170531A	755343	39.04	0.000000751
GRB170526A	754549	8.788	0.000000182
GRB170524A	754322	0.12	3.75E-08
GRB170519A	753445	231.5	0.00000112
GRB170516A	753110	51.07	0.000000955
GRB170419B	748947	86.95	0.00000193
GRB170419A	748898	8.96	0.000000299
GRB170405A	745797	185.8	0.00000388
GRB170331A	744791	19.94	0.00000107
GRB170330A	744773	151.8	0.00000551
GRB170325A	34941009	0.392	8.58E-08
GRB170318B	743086	1.144	0.000000133
GRB170311A	741965	10	0.000000305
GRB170307A	741528	69.89	0.00000132
GRB170306A	741220	26.32	0.000000858
GRB170208B	737463	177.5	6.11E-06
GRB170205A	736843	47.82	0.00000378
GRB170203A	736432	49.02	0.000000618
GRB170202A	736407	76.21	0.00000334
GRB170127B	735331	0.592	0.000000104
GRB170127A	735326	73.76	0.000000532
GRB170126A	735188	11.65	0.00000295
GRB170115A	733103	49.55	0.000000469
GRB170113A	732526	23.54	6.63E-07
GRB170111A	731887	38.91	0.000000816
