## GRBname 	 Trig_ID 	 15_150kev 	 Exposure_time 	bestmodel
GRB190829A	922968	 N/A 	59.14	 PL
GRB190828B	922808	4.49E-06	940.7	 PL
GRB190824A	922107	8.10E-06	186.5	 PL
GRB190821A	921722	2.26E-06	62.8	 PL
GRB190816A	920783	9.79E-06	548	 PL
GRB190727B	916733	9.16E-06	60.44	 PL
GRB190719C	915381	4.97E-06	202.4	 PL
GRB190718A	915091	1.44E-07	720	 N/A
GRB190706B	913302	5.88E-07	51.58	 PL
GRB190701A	912310	8.55E-07	54.98	 PL
GRB190630C	912239	2.12E-06	52.15	 PL
GRB190630B	912102	2.75E-07	6.388	 PL
GRB190627A	911609	 N/A 	2.956	 PL
GRB190613B	908329	2.19E-06	178.5	 N/A
GRB190613A	908288	4.65E-07	19.7	 PL
GRB190611A	907950	4.19E-07	64.7	 PL
GRB190610A	907754	4.36E-07	0.74	 PL
GRB190604B	906654	1.70E-05	277.8	 PL
GRB190519A	904394	1.78E-05	58.1	 N/A
GRB190515B	903845	1.49E-06	57.34	 PL
GRB190512A	903357	1.21E-06	53	 PL
GRB190511A	903158	7.29E-07	31.15	 PL
GRB190427A	900730	1.20E-07	0.32	 PL
GRB190424A	900285	1.18E-06	15.68	 PL
GRB190422A	899979	6.15E-06	353.1	 PL
GRB190331A	895813	4.44E-07	4.56	 PL
GRB190326A	895006	 N/A 	0.104	 N/A
GRB190324A	894718	6.91E-06	58.02	 PL
GRB190320A	893808	2.66E-06	70	 PL
GRB190311A	892607	9.39E-07	24.13	 PL
GRB190220A	889785	8.82E-07	12	 N/A
GRB190219A	889748	3.64E-06	194.2	 PL
GRB190211A	888648	2.19E-07	11.42	 PL
GRB190204A	887579	1.24E-05	60.65	 PL
GRB190203A	887512	1.57E-05	286.4	 PL
GRB190202A	887217	6.39E-06	28.22	 PL
GRB190123A	885314	8.26E-07	28.05	 PL
GRB190114C	883832	8.21E-05	708.4	 N/A
GRB190114B	883818	4.67E-07	29.06	 PL
GRB190114A	883600	7.49E-07	73.18	 PL
GRB190110A	883012	2.42E-06	11.79	 PL
GRB190109B	882809	4.63E-07	7.568	 PL
GRB190109A	882747	5.45E-06	200.8	 CPL
GRB190106A	882252	4.00E-06	96.74	 PL
GRB190103B	881709	1.19E-05	26.61	 CPL
GRB181228A	879909	1.02E-05	341.9	 PL
GRB181224A	878911	4.70E-07	15.34	 PL
GRB181213A	876016	1.43E-06	16.35	 PL
GRB181203A	874475	7.56E-07	17.65	 PL
GRB181202A	874334	2.35E-07	7.012	 PL
GRB181126A	873539	3.06E-07	2.232	 CPL
GRB181125A	873433	3.16E-07	11.42	 N/A
GRB181123B	873186	1.27E-07	0.28	 N/A
GRB181110A	871316	9.71E-06	239.1	 PL
GRB181103A	870201	2.87E-07	11.18	 PL
GRB181030A	869494	5.92E-06	439.8	 PL
GRB181027A	868984	2.82E-06	103.9	 PL
GRB181023A	868427	1.29E-06	65.96	 N/A
