## GRBname 	 Trig_ID 	 15_150kev 	 Exposure_time 	bestmodel
GRB190829A	922968	6.37E-06	59.14	
GRB190828B	922808	4.47E-06	940.7	
GRB190824A	922107	8.36E-06	186.5	
GRB190821A	921722	2.36E-06	62.8	
GRB190816A	920783	9.76E-06	548	
GRB190727B	916733	1.80E-05	60.44	
GRB190719C	915381	5.09E-06	202.4	
GRB190718A	915091	7.21E-28	720	
GRB190706B	913302	6.51E-07	51.58	
GRB190701A	912310	8.64E-07	54.98	
GRB190630C	912239	2.29E-06	52.15	
GRB190630B	912102	2.77E-07	6.388	
GRB190627A	911609	1.18E-07	2.956	
GRB190613B	908329	2.17E-06	178.5	
GRB190613A	908288	1.71E-06	19.7	
GRB190611A	907950	4.57E-07	64.7	
GRB190610A	907754	4.35E-07	0.74	
GRB190604B	906654	1.71E-05	277.8	
GRB190519A	904394	1.83E-05	58.1	
GRB190515B	903845	1.48E-06	57.34	
GRB190512A	903357	1.28E-06	53	
GRB190511A	903158	7.39E-06	31.15	
GRB190427A	900730	1.21E-07	0.32	
GRB190424A	900285	1.21E-06	15.68	
GRB190422A	899979	6.13E-06	353.1	
GRB190331A	895813	4.47E-07	4.56	
GRB190326A	895006	3.88E-08	0.104	
GRB190324A	894718	7.04E-06	58.02	
GRB190320A	893808	2.68E-06	70	
GRB190311A	892607	9.32E-07	24.13	
GRB190220A	889785	9.85E-07	12	
GRB190219A	889748	3.80E-06	194.2	
GRB190211A	888648	5.79E-07	11.42	
GRB190204A	887579	1.25E-05	60.65	
GRB190203A	887512	1.56E-05	286.4	
GRB190202A	887217	6.48E-06	28.22	
GRB190123A	885314	8.26E-07	28.05	
GRB190114C	883832	8.21E-05	708.4	
GRB190114B	883818	5.12E-07	29.06	
GRB190114A	883600	8.03E-07	73.18	
GRB190110A	883012	2.47E-06	11.79	
GRB190109B	882809	4.77E-07	7.568	
GRB190109A	882747	6.16E-06	200.8	
GRB190106A	882252	5.86E-06	96.74	
GRB190103B	881709	1.23E-05	26.61	
GRB181228A	879909	1.04E-05	341.9	
GRB181224A	878911	4.94E-07	15.34	
GRB181213A	876016	1.44E-06	16.35	
GRB181203A	874475	7.71E-07	17.65	
GRB181202A	874334	2.48E-07	7.012	
GRB181126A	873539	3.27E-07	2.232	
GRB181125A	873433	3.30E-07	11.42	
GRB181123B	873186	1.27E-07	0.28	
GRB181110A	871316	9.82E-06	239.1	
GRB181103A	870201	2.85E-07	11.18	
GRB181030A	869494	6.12E-06	439.8	
GRB181027A	868984	2.83E-06	103.9	
GRB181023A	868427	1.31E-06	65.96	
GRB181022A	868312	1.88E-07	9.608	
GRB181020A	867987	8.08E-06	272.7	
GRB181016A	867252	1.88E-06	128.2	
GRB181013A	866783	2.77E-07	105.6	
GRB181010A	866434	6.93E-07	19.26	
GRB181003A	865179	4.94E-07	29.2	
GRB181002A	865036	8.85E-07	72	
GRB180930A	864584	2.03E-07	7.448	
GRB180925A	863421	4.02E-06	108.5	
GRB180924A	863186	1.36E-06	111	
GRB180905A	859421	4.18E-06	205.6	
GRB180904A	859282	2.36E-07	6.276	
GRB180828A	856977	8.79E-06	36	
GRB180823A	855434	7.82E-06	109.6	
GRB180821A	854578	1.46E-06	64	
GRB180818B	853882	2.31E-06	156.3	
GRB180818A	853824	2.58E-07	16.24	
GRB180812A	852903	8.06E-07	17.47	
GRB180809B	852553	7.24E-05	338.4	
GRB180805B	851855	8.63E-07	126.6	
GRB180805A	851829	1.13E-07	1.864	
GRB180728A	850471	3.01E-05	36.76	
GRB180727A	850231	2.94E-07	1.384	
GRB180721A	849018	5.94E-07	49.31	
GRB180720C	848932	2.28E-06	164	
GRB180720B	848890	8.44E-05	531.5	
GRB180718A	848489	3.95E-09	0.1	
GRB180715A	848048	1.26E-07	0.776	
GRB180709A	846868	1.36E-06	223.1	
GRB180706A	846395	2.39E-06	67.09	
GRB180705A	846299	2.04E-06	132.8	
GRB180704A	846088	6.15E-06	22.13	
GRB180630A	845443	1.75E-06	30.38	
GRB180626A	844615	4.87E-06	35.6	
GRB180624A	844192	5.52E-06	549.2	
GRB180623A	844015	1.14E-05	175.9	
GRB180620B	843211	1.02E-05	321.8	
GRB180620A	843122	5.75E-06	44.71	
GRB180618A	842475	6.75E-07	56.38	
GRB180614A	841548	2.10E-07	7.8	
GRB180613A	840853	6.24E-07	57.25	
GRB180602A	835200	1.73E-06	69.62	
GRB180514A	832368	9.01E-07	36.96	
GRB180512A	832119	4.24E-07	26	
GRB180510B	831816	2.12E-06	157	
GRB180510A	831810	6.33E-06	80	
GRB180504A	830822	2.35E-06	178	
GRB180425A	828672	1.18E-06	13.7	
