##GRBname	z	T90	Exposure	fluence	Flux[ph]	Flux[erg]	Epeak
GRB180728A	0.117	8.68	36.76	3.01E-05	131.61	8.51E-06	86.52769344
GRB180624A	2.855	466.65	549.2	5.52E-06	1.38	8.96E-08	87.6498868
GRB180620B	1.118	223.97	321.8	9.97E-06	3.64	3.29E-07	694.2432983
GRB180404A	1	36.28	46.63	1.27E-06	1.32	9.32E-08	135.4561228
GRB180329B	1.998	213.54	267.1	3.21E-06	1.43	9.09E-08	80.89870453
GRB180314A	1.445	50.46	121.6	1.06E-05	7.75	5.78E-07	190.7283426
GRB180205A	1.409	15.54	17.91	1.02E-06	3.37	2.33E-07	120.5942701
GRB180115A	2.487	39.14	43.76	7.56E-07	0.58	4.48E-08	236.141216
GRB171205A	0.037	190.47	240	3.53E-06	0.95	5.89E-08	69.69134618
GRB170903A	0.886	27.72	35.7	2.36E-06	3.91	2.56E-07	91.9528053
GRB170705A	2.01	223.2	310	9.22E-06	13.56	1.13E-06	369.5519819
GRB170607A	0.557	320	352	7.63E-06	2.71	1.92E-07	137.9844711
GRB170604A	1.329	26.53	30.5	5.09E-06	4.25	3.08E-07	156.0790959
GRB170531B	2.366	170.3	181.3	1.92E-06	0.75	5.15E-08	120.7517314
GRB170519A	0.818	220.25	231.5	1.12E-06	0.68	5.42E-08	274.3565903
GRB170113A	1.968	20.3	23.54	6.63E-07	1.07	8.98E-08	388.3944127
GRB161117A	1.549	125.7	160.4	2.02E-05	6.81	4.60E-07	108.0613959
GRB161017A	2.013	217.05	246.7	5.37E-06	2.81	2.49E-07	603.1860087
GRB160804A	0.736	152.74	222	1.09E-05	2.84	2.01E-07	138.9008928
GRB160425A	0.555	304.6	320.3	2.01E-06	2.83	2.11E-07	185.4297706
GRB160327A	4.99	33.74	49.22	1.36E-06	1.7	1.25E-07	174.6527832
GRB160314A	0.726	8.73	9.35	2.75E-07	0.91	6.89E-08	204.6610627
GRB160227A	2.38	316.35	336.4	3.12E-06	0.61	5.72E-08	917.1152908
GRB160117B	0.87	11.54	14.45	3.38E-07	1.73	1.05E-07	64.60590821
GRB151215A	2.59	17.85	18.59	3.08E-07	1.59	1.24E-07	251.4190192
GRB151031A	1.167	5	6	3.37E-07	1.72	1.03E-07	61.39659601
GRB151027A	0.81	129.58	164.1	7.29E-06	6.85	5.82E-07	434.4553802
GRB151021A	2.33	110.06	149	2.74E-05	9.74	7.66E-07	256.3168325
GRB150818A	0.282	143.06	201.3	4.26E-06	2.35	1.46E-07	70.86872159
GRB150323A	0.593	149.73	192.9	5.60E-06	4.61	3.02E-07	92.5103994
GRB150314A	1.758	14.78	103.6	2.25E-05	37.99	3.81E-06	1906.374918
GRB150301B	1.517	17.14	24.98	1.98E-06	3.01	2.40E-07	283.0614218
GRB150206A	2.087	75	411.9	1.48E-05	10.06	8.99E-07	641.3489054
GRB141225A	0.915	86.15	124.9	2.81E-06	1.35	1.34E-07	1854.158806
GRB141121A	1.47	481	552.7	4.32E-06	0.88	5.77E-08	92.64851477
GRB141109A	2.993	200.19	322.6	6.66E-06	2.41	2.10E-07	524.564403
GRB140907A	1.21	80	144	4.51E-06	1.57	1.29E-07	335.8405079
GRB140703A	3.14	68.64	137.5	3.88E-06	2.77	2.42E-07	542.0179113
GRB140629A	2.275	38.27	54.85	2.29E-06	4.32	3.50E-07	308.0776007
GRB140518A	4.707	60.52	64.02	1.06E-06	0.97	7.07E-08	165.1263134
GRB140515A	6.33	23.42	25.79	6.19E-07	0.91	6.31E-08	127.6022072
GRB140512A	0.725	154.11	201	1.30E-05	6.05	5.13E-07	429.0990331
GRB140506A	0.889	111.1	120.4	2.66E-06	10.64	8.67E-07	304.6686864
GRB140430A	1.6	173.59	177.9	1.13E-06	2.5	1.99E-07	274.8988183
GRB140423A	3.26	134.14	239	9.37E-06	2.15	1.86E-07	502.3559309
GRB140419A	3.956	80.08	134	1.57E-05	4.5	4.18E-07	891.1405131
GRB140311A	4.954	70.48	76.67	2.10E-06	1.28	8.83E-08	119.8646552
GRB140304A	5.283	14.78	17.31	1.10E-06	1.66	1.41E-07	426.4852118
GRB140301A	1.416	27.8	40.8	4.55E-07	0.81	6.32E-08	240.4146768
GRB140213A	1.208	59.93	87.74	1.20E-05	23.55	1.63E-06	124.1414538
GRB140206A	2.73	94.19	294.4	1.64E-05	19.95	1.69E-06	394.3683088
GRB140114A	3	139.95	183.1	3.20E-06	0.95	5.66E-08	59.55671567
GRB131117A	4.042	10.88	12.42	2.98E-07	0.66	4.88E-08	170.1041596
GRB131103A	0.596	15.21	18.54	8.12E-07	1.56	1.25E-07	294.4807249
GRB130831A	0.479	30.19	43.23	6.50E-06	13.56	9.44E-07	126.6283644
GRB130606A	5.913	276.66	298.3	2.76E-06	2.51	2.34E-07	955.9808147
GRB130604A	1.06	76.28	96.21	1.54E-06	0.77	6.30E-08	342.7147389
GRB130511A	1.303	2.74	2.9	1.74E-07	1.26	9.85E-08	242.0430904
GRB130427B	2.78	25.9	30.11	1.45E-06	3.15	2.51E-07	278.0952765
GRB130427A	0.34	244.33	711.2	3.73E-04	358.63	3.79E-05	3531.514871
GRB130420A	1.297	121.14	203.1	7.59E-06	3.33	2.16E-07	103.6239489
GRB130408A	3.758	4.24	4.66	1.67E-06	5.12	3.45E-07	107.4281152
GRB130215A	0.597	66.22	79.55	5.40E-06	2.58	1.85E-07	151.2524345
GRB130131B	2.539	4.3	4.65	3.38E-07	0.96	7.76E-08	295.5168896
GRB121217A	3.1	778.09	801.5	6.17E-06	1.75	1.34E-07	219.0055531
GRB121211A	1.023	182.7	197.1	1.27E-06	1.02	9.84E-08	1250.633567
GRB121209A	2.1	42.92	46.88	2.87E-06	3.38	3.35E-07	1739.520451
GRB121201A	3.385	38	46	7.20E-07	0.8	5.92E-08	179.3777926
GRB121128A	2.2	23.43	41.69	5.83E-06	12.46	1.04E-06	375.9894752
