z	fluence
0.117	3.01E-05
0.654	8.44E-05
2.855	5.52E-06
1.118	9.97E-06
1.305	2.12E-06
1	1.27E-06
1.998	3.21E-06
2.25	6.39E-06
1.445	1.06E-05
1.409	1.02E-06
2.487	7.56E-07
2.409	1.88E-06
0.037	3.53E-06
1.87	1.16E-06
0.886	2.36E-06
2.01	9.22E-06
0.557	7.63E-06
1.329	5.09E-06
2.366	1.92E-06
0.818	1.12E-06
3.645	3.34E-06
1.968	6.63E-07
0.148	1.54E-06
0.645	3.59E-06
1.549	2.02E-05
1.159	1.10E-06
2.013	5.37E-06
2.823	2.21E-06
0.736	1.09E-05
0.555	2.01E-06
4.99	1.36E-06
0.726	2.75E-07
1.64	1.93E-06
2.38	3.12E-06
3.52	9.93E-07
0.972	2.01E-05
1.96	6.13E-07
0.87	3.38E-07
2.59	3.08E-07
1.167	3.37E-07
1.423	4.37E-07
0.81	7.29E-06
2.33	2.74E-05
1.36	4.77E-06
0.282	4.26E-06
0.313	3.61E-06
3.139	4.27E-06
2.06	1.71E-05
0.593	5.60E-06
1.758	2.25E-05
1.517	1.98E-06
2.087	1.48E-05
3.5	5.34E-07
0.915	2.81E-06
1.452	2.11E-06
1.47	4.32E-06
2.993	6.66E-06
3.35	1.29E-06
0.573	6.68E-07
1.21	4.51E-06
0.558	2.29E-07
3.14	3.88E-06
2.275	2.29E-06
4.233	1.03E-06
4.707	1.06E-06
6.33	6.19E-07
0.725	1.30E-05
2.4	1.23E-06
0.889	2.66E-06
1.6	1.13E-06
4.7	3.40E-07
3.26	9.37E-06
3.956	1.57E-05
1.02	2.85E-07
4.954	2.10E-06
5.283	1.10E-06
1.416	4.55E-07
1.208	1.20E-05
2.73	1.64E-05
3	3.20E-06
5.3	8.41E-07
4.042	2.98E-07
0.596	8.12E-07
1.293	2.91E-05
1.238	1.36E-04
0.479	6.50E-06
1.155	4.38E-06
2.006	2.81E-07
2.092	2.53E-06
5.913	2.76E-06
1.06	1.54E-06
3.6	9.00E-06
1.303	1.74E-07
2.78	1.45E-06
0.34	3.73E-04
1.297	7.59E-06
1.218	1.77E-06
3.758	1.67E-06
0.597	5.40E-06
2.539	3.38E-07
2.707	8.40E-07
3.1	6.17E-06
1.023	1.27E-06
2.1	2.87E-06
3.385	7.20E-07
2.2	5.83E-06
2.298	1.10E-06
7.84	3.89E-07
3.1	5.52E-06
3.93	7.50E-06
0.97	5.88E-07
2.359	4.92E-07
2.671	2.84E-06
3.796	1.64E-06
0.8	2.51E-06
1.48	8.00E-07
0.959	1.33E-06
0.398	1.25E-06
4.175	1.84E-06
2.197	2.96E-05
5.93	1.20E-06
0.283	3.22E-07
2.876	1.58E-06
4.5	9.21E-07
2.815	3.57E-06
1.798	2.52E-06
1.1	2.16E-07
2.4	8.62E-07
1.728	1.70E-05
2.943	1.75E-06
1.381	3.36E-07
0.716	8.27E-06
0.297	1.26E-06
1.08	1.82E-07
3.152	7.10E-06
2.893	9.12E-07
4.99	5.20E-06
0.013	5.75E-07
3.36	3.99E-06
1.348	3.69E-07
1.858	4.56E-06
2.83	5.94E-06
1.036	2.45E-07
0.822	1.20E-05
1.613	1.13E-05
1.77	3.83E-05
1.461	5.97E-06
2.22	1.58E-05
2.339	5.78E-07
0.618	2.05E-06
0.552	2.59E-06
0.414	4.99E-06
1.727	1.19E-05
4.5	3.22E-06
1.408	1.95E-06
1.44	8.85E-06
2.106	1.67E-06
1.567	3.73E-05
3.6	5.85E-06
0.542	2.06E-05
1.398	4.92E-06
4.772	1.43E-06
0.52	7.50E-07
1.755	4.64E-07
2.465	1.50E-06
0.624	3.46E-07
3.9	6.18E-06
1.18	1.98E-07
3.155	8.22E-07
4.813	3.16E-07
4.667	4.65E-07
0.604	1.22E-06
1.063	3.20E-06
0.49	8.58E-06
3.076	1.64E-06
2.752	2.41E-06
1.092	5.98E-06
1.71	3.80E-06
0.971	1.52E-06
1.37	1.98E-07
1.24	7.12E-06
0.696	1.25E-06
2.452	5.73E-06
2.737	3.65E-07
2.71	7.86E-07
3	5.65E-06
1.8	2.53E-05
