##GRBname	z	T90	Exposure	fluence	Flux[ph]	Flux[erg]
GRB180728A	0.117	8.68	36.76	3.01E-05	131.61	8.51E-06
GRB180620B	1.118	223.97	321.8	9.97E-06	3.64	3.29E-07
GRB180314A	1.445	50.46	121.6	1.06E-05	7.75	5.78E-07
GRB180205A	1.409	15.54	17.91	1.02E-06	3.37	2.33E-07
GRB170903A	0.886	27.72	35.7	2.36E-06	3.91	2.56E-07
GRB170705A	2.01	223.2	310	9.22E-06	13.56	1.13E-06
GRB170607A	0.557	320	352	7.63E-06	2.71	1.92E-07
GRB170604A	1.329	26.53	30.5	5.09E-06	4.25	3.08E-07
GRB170202A	3.645	37.76	76.21	3.34E-06	4.75	4.09E-07
GRB161219B	0.148	6.93	8.91	1.54E-06	5.3	3.74E-07
GRB161129A	0.645	35.54	44.53	3.59E-06	3.31	2.91E-07
GRB161117A	1.549	125.7	160.4	2.02E-05	6.81	4.60E-07
GRB161017A	2.013	217.05	246.7	5.37E-06	2.81	2.49E-07
GRB161014A	2.823	23	27	2.21E-06	2.68	1.79E-07
GRB160804A	0.736	152.74	222	1.09E-05	2.84	2.01E-07
GRB160425A	0.555	304.6	320.3	2.01E-06	2.83	2.11E-07
GRB151027A	0.81	129.58	164.1	7.29E-06	6.85	5.82E-07
GRB151021A	2.33	110.06	149	2.74E-05	9.74	7.66E-07
GRB150323A	0.593	149.73	192.9	5.60E-06	4.61	3.02E-07
GRB150314A	1.758	14.78	103.6	2.25E-05	37.99	3.81E-06
GRB150301B	1.517	17.14	24.98	1.98E-06	3.01	2.40E-07
GRB150206A	2.087	75	411.9	1.48E-05	10.06	8.99E-07
GRB141221A	1.452	36.82	44.44	2.11E-06	3.06	2.72E-07
GRB141004A	0.573	3.92	6.19	6.68E-07	6.13	4.30E-07
GRB140703A	3.14	68.64	137.5	3.88E-06	2.77	2.42E-07
GRB140629A	2.275	38.27	54.85	2.29E-06	4.32	3.50E-07
GRB140512A	0.725	154.11	201	1.30E-05	6.05	5.13E-07
GRB140506A	0.889	111.1	120.4	2.66E-06	10.64	8.67E-07
GRB140419A	3.956	80.08	134	1.57E-05	4.5	4.18E-07
GRB140213A	1.208	59.93	87.74	1.20E-05	23.55	1.63E-06
GRB140206A	2.73	94.19	294.4	1.64E-05	19.95	1.69E-06
GRB131030A	1.293	39.42	148.9	2.91E-05	28.09	2.68E-06
GRB130831A	0.479	30.19	43.23	6.50E-06	13.56	9.44E-07
GRB130701A	1.155	4.38	6.49	4.38E-06	17.1	1.44E-06
GRB130514A	3.6	214.19	280.7	9.00E-06	2.93	2.23E-07
GRB130427B	2.78	25.9	30.11	1.45E-06	3.15	2.51E-07
GRB130427A	0.34	244.33	711.2	3.73E-04	358.63	3.79E-05
GRB130420A	1.297	121.14	203.1	7.59E-06	3.33	2.16E-07
GRB130408A	3.758	4.24	4.66	1.67E-06	5.12	3.45E-07
GRB121209A	2.1	42.92	46.88	2.87E-06	3.38	3.35E-07
GRB121128A	2.2	23.43	41.69	5.83E-06	12.46	1.04E-06
GRB120907A	0.97	6.08	6.96	5.88E-07	2.86	2.28E-07
GRB120811C	2.671	24.34	41.06	2.84E-06	3.96	2.60E-07
GRB120802A	3.796	50.29	63.63	1.64E-06	3.03	2.15E-07
GRB120729A	0.8	93.93	144.9	2.51E-06	2.81	1.93E-07
GRB120624B	2.197	179.66	207.9	2.96E-05	5.39	5.11E-07
GRB120327A	2.815	63.53	90.36	3.57E-06	3.88	3.28E-07
GRB120326A	1.798	69.48	90.58	2.52E-06	4.74	3.10E-07
GRB120119A	1.728	68	227	1.70E-05	9.69	8.61E-07
GRB111228A	0.716	101.24	128.2	8.27E-06	12.23	8.06E-07
GRB111008A	4.99	62.85	71.42	5.20E-06	6.42	5.41E-07
GRB110731A	2.83	40.94	81.33	5.94E-06	10.67	8.91E-07
GRB110715A	0.822	13	24	1.20E-05	52.42	4.24E-06
GRB110503A	1.613	58.7	210.2	1.13E-05	29.63	2.79E-06
GRB110422A	1.77	25.78	47.92	3.83E-05	28.88	2.75E-06
GRB110205A	2.22	249.42	507.4	1.58E-05	3.12	2.54E-07
GRB100906A	1.727	114.63	130.7	1.19E-05	10.02	7.95E-07
GRB100728B	2.106	12.08	14.94	1.67E-06	3.47	2.60E-07
GRB100728A	1.567	193.38	412.6	3.73E-05	5	5.28E-07
GRB100704A	3.6	196.88	264.6	5.85E-06	4.3	4.04E-07
GRB100621A	0.542	63.55	210.4	2.06E-05	12.61	9.32E-07
GRB100615A	1.398	38.82	47.45	4.92E-06	5.56	4.01E-07
GRB091208B	1.063	14.8	19.5	3.20E-06	14.62	1.11E-06
GRB091127	0.49	6.96	7.57	8.58E-06	45.31	2.99E-06
GRB091020	1.71	38.92	56.74	3.80E-06	4.18	3.64E-07
GRB091018	0.971	4.37	8.02	1.52E-06	10.38	5.91E-07
GRB090926B	1.24	99.28	152	7.12E-06	3.16	2.71E-07
GRB090812	2.452	74.5	119.3	5.73E-06	3.55	3.52E-07
GRB090715B	3	266.4	304	5.65E-06	3.75	3.11E-07
GRB090709A	1.8	88.74	168.8	2.53E-05	7.79	7.24E-07
GRB090530	1.266	40.46	48.55	1.09E-06	3.19	2.66E-07
GRB090424	0.544	49.46	103.2	2.18E-05	69.92	5.81E-06
GRB090201	2.1	74.26	86.14	2.89E-05	14.57	1.41E-06
GRB081222	2.77	33	65	5.22E-06	7.46	6.45E-07
GRB081221	2.26	33.91	112.6	1.89E-05	17.95	1.50E-06
GRB081203A	2.05	223	474	7.83E-06	2.82	2.46E-07
GRB081121	2.512	17.52	19.76	5.08E-06	4.15	3.63E-07
GRB081007	0.53	9.73	15.49	7.61E-07	2.87	1.63E-07
GRB080916A	0.689	61.35	91.04	4.22E-06	2.62	2.51E-07
GRB080804	2.205	37.87	113.2	3.79E-06	3.06	2.53E-07
GRB080607	3.037	78.97	161.8	2.47E-05	23.3	2.37E-06
GRB080603B	2.689	59.12	68.37	2.46E-06	3.53	3.19E-07
GRB080602	1.82	74.29	80.73	3.26E-06	2.73	2.88E-07
GRB080515	2.47	20.86	27.73	2.58E-06	3.42	2.08E-07
GRB080430	0.767	13.87	17.66	1.17E-06	2.66	1.82E-07
GRB080413B	1.101	8	12	3.36E-06	18.13	1.40E-06
GRB080413A	2.433	46.36	50.42	3.52E-06	5.52	4.91E-07
