##GRBname	z	T90	Exposure	fluence	Flux[ph]	Flux[erg]
GRB180728A	0.117	8.68	36.76	3.01E-05	131.61	8.51E-06
GRB180720B	0.654	108.4	531.5	8.44E-05	2.39	6.31E-06
GRB180624A	2.855	466.65	549.2	5.52E-06	1.38	8.96E-08
GRB180620B	1.118	223.97	321.8	9.97E-06	3.64	3.29E-07
GRB180510B	1.305	134.02	157	2.12E-06	1.22	8.63E-08
GRB180404A	1	36.28	46.63	1.27E-06	1.32	9.32E-08
GRB180329B	1.998	213.54	267.1	3.21E-06	1.43	9.09E-08
GRB180325A	2.25	92.83	107.9	6.39E-06	0.53	9.15E-07
GRB180314A	1.445	50.46	121.6	1.06E-05	7.75	5.78E-07
GRB180205A	1.409	15.54	17.91	1.02E-06	3.37	2.33E-07
GRB180115A	2.487	39.14	43.76	7.56E-07	0.58	4.48E-08
GRB171222A	2.409	173.87	202.1	1.88E-06	0.67	3.91E-08
GRB171205A	0.037	190.47	240	3.53E-06	0.95	5.89E-08
GRB171020A	1.87	41.86	47.62	1.16E-06	0.73	6.03E-08
GRB170903A	0.886	27.72	35.7	2.36E-06	3.91	2.56E-07
GRB170705A	2.01	223.2	310	9.22E-06	13.56	1.13E-06
GRB170607A	0.557	320	352	7.63E-06	2.71	1.92E-07
GRB170604A	1.329	26.53	30.5	5.09E-06	4.25	3.08E-07
GRB170531B	2.366	170.3	181.3	1.92E-06	0.75	5.15E-08
GRB170519A	0.818	220.25	231.5	1.12E-06	0.68	5.42E-08
GRB170202A	3.645	37.76	76.21	3.34E-06	4.75	4.09E-07
GRB170113A	1.968	20.3	23.54	6.63E-07	1.07	8.98E-08
GRB161219B	0.148	6.93	8.91	1.54E-06	5.3	3.74E-07
GRB161129A	0.645	35.54	44.53	3.59E-06	3.31	2.91E-07
GRB161117A	1.549	125.7	160.4	2.02E-05	6.81	4.60E-07
GRB161108A	1.159	115.84	128.7	1.10E-06	0.6	3.60E-08
GRB161017A	2.013	217.05	246.7	5.37E-06	2.81	2.49E-07
GRB161014A	2.823	23	27	2.21E-06	2.68	1.79E-07
GRB160804A	0.736	152.74	222	1.09E-05	2.84	2.01E-07
GRB160425A	0.555	304.6	320.3	2.01E-06	2.83	2.11E-07
GRB160327A	4.99	33.74	49.22	1.36E-06	1.7	1.25E-07
GRB160314A	0.726	8.73	9.35	2.75E-07	0.91	6.89E-08
GRB160228A	1.64	98.91	119.6	1.93E-06	1.17	1.38E-07
GRB160227A	2.38	316.35	336.4	3.12E-06	0.61	5.72E-08
GRB160203A	3.52	17.44	19.7	9.93E-07	1.29	7.93E-08
GRB160131A	0.972	327.75	774.5	2.01E-05	0.3	5.80E-07
GRB160121A	1.96	10.5	15	6.13E-07	1.18	7.79E-08
GRB160117B	0.87	11.54	14.45	3.38E-07	1.73	1.05E-07
GRB151215A	2.59	17.85	18.59	3.08E-07	1.59	1.24E-07
GRB151031A	1.167	5	6	3.37E-07	1.72	1.03E-07
GRB151029A	1.423	8.95	13.22	4.37E-07	1.73	1.08E-07
GRB151027A	0.81	129.58	164.1	7.29E-06	6.85	5.82E-07
GRB151021A	2.33	110.06	149	2.74E-05	9.74	7.66E-07
GRB150910A	1.36	112.27	151.3	4.77E-06	1.07	8.28E-08
GRB150818A	0.282	143.06	201.3	4.26E-06	2.35	1.46E-07
GRB150727A	0.313	87.96	104.6	3.61E-06	1.04	9.79E-08
GRB150413A	3.139	243.6	281	4.27E-06	1.67	1.31E-07
GRB150403A	2.06	37.3	228.5	1.71E-05	0.98	1.71E-06
GRB150323A	0.593	149.73	192.9	5.60E-06	4.61	3.02E-07
GRB150314A	1.758	14.78	103.6	2.25E-05	37.99	3.81E-06
GRB150301B	1.517	17.14	24.98	1.98E-06	3.01	2.40E-07
GRB150206A	2.087	75	411.9	1.48E-05	10.06	8.99E-07
GRB150120B	3.5	24.34	28.18	5.34E-07	1.22	7.70E-08
GRB141225A	0.915	86.15	124.9	2.81E-06	1.35	1.34E-07
GRB141221A	1.452	36.82	44.44	2.11E-06	3.06	2.72E-07
GRB141121A	1.47	481	552.7	4.32E-06	0.88	5.77E-08
GRB141109A	2.993	200.19	322.6	6.66E-06	2.41	2.10E-07
